task,label,unit,n,rmse,r2,cov68,cov95
T01_mass_excess,Mass excess,keV,99,1612.3145427582563,0.9889979403672653,0.9090909090909091,1.0
T02_BE_per_A,BE/A,keV,99,17.653396329284245,0.9837274491123129,0.9090909090909091,1.0
T03_S_2n,S(2n),keV,94,627.9154905171531,0.9846982446608856,0.9042553191489362,0.9893617021276596
T04_S_2p,S(2p),keV,92,595.8280145707903,0.9951369956912629,0.9782608695652174,1.0
T05_S_n,S(n),keV,97,316.1842428872303,0.9863310385915445,0.9690721649484536,1.0
T06_S_p,S(p),keV,96,317.49961765995323,0.9949305758676714,0.9895833333333334,1.0
T07_Q_alpha,Q(α),keV,96,618.1471254851748,0.9802619708062991,0.8333333333333334,0.9583333333333334
T08_Q_beta,Q(β−),keV,93,585.4206767116374,0.9927120083756222,0.989247311827957,1.0
T09_E_2plus,E(2⁺),keV,21,289.4856313236167,0.24375334417278294,0.8095238095238095,0.9523809523809523
T10_BE2_up,B(E2)↑,e²b²,21,0.30711008346910823,0.8961216723559688,0.9047619047619048,1.0
T11_beta2,β₂,,21,0.02972045021243859,0.848586902086911,0.7619047619047619,1.0
T12_tau,τ,ps,21,403.61613877555413,0.8240109342854645,0.9523809523809523,1.0
T13_E_4plus,E(4⁺),keV,23,256.66921153275047,0.6793278006808297,0.6956521739130435,0.9565217391304348
T14_R_42,R(4/2),,23,0.23425557132431235,0.6905293698058065,0.6521739130434783,0.9565217391304348
